Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Badge Personalizada (product.metafields.corneta.custom_tag),Badge personalizada cor (product.metafields.corneta.custom_tag_color),Subtítulo do produto (product.metafields.corneta.product_subtitle),Versões - Produtos (product.metafields.corneta.product_versions),Ocultar produto - Redirecionamento (product.metafields.corneta.redirect_product),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ocultar produto - Busca & SEO (product.metafields.seo.hidden),Grupo de idade (product.metafields.shopify.age-group),Cor (product.metafields.shopify.color-pattern),Tamanho (product.metafields.shopify.size),Tipo de comprimento da manga (product.metafields.shopify.sleeve-length-type),Gênero alvo (product.metafields.shopify.target-gender),Tipo de comprimento do top (product.metafields.shopify.top-length-type),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsionamentos de produtos na pesquisa (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
errou-molhou,"Errou, Molhou - Um quiz maluco onde errar significa se molhar","<p data-end=""502"" data-start=""229""><strong data-end=""329"" data-start=""311"">Errou, Molhou!</strong> é simples: alguém faz a pergunta, todo mundo responde… e quem errar leva uma borrifada de água!<br data-end=""428"" data-start=""425"">É rápido, fácil de jogar e rende momentos que viram <em data-end=""501"" data-start=""480"">história de família</em>.</p>
<h2 data-end=""525"" data-start=""504"">💦 COMO FUNCIONA?</h2>
<ul>
<li data-end=""558"" data-start=""528"">Leia a pergunta em voz alta.</li>
<li data-end=""558"" data-start=""528"">Todos escolhem sua resposta.</li>
<li data-end=""623"" data-start=""594"">Revelou, errou… <strong data-end=""621"" data-start=""610"">molhou!</strong>
</li>
<li data-end=""682"" data-start=""626"">Quem acertar desvia da água e ainda zoa quem se deu mal.</li>
</ul>
<h2 data-end=""724"" data-start=""684"">🎉 POR QUE ESSE JOGO É VICIANTE?</h2>
<ul>
<li data-end=""788"" data-start=""727"">
<strong data-end=""770"" data-start=""727"">Diversão garantida para todas as idades</strong> (dos 8 aos 129).</li>
<li data-end=""918"" data-start=""833"">Ninguém fica parado, todo turno gera caos e risada.</li>
<li data-end=""976"" data-start=""921"">Regras simples, zero complicação: abriu a caixa, jogou.</li>
</ul>
<h2 data-end=""1008"" data-start=""978"">👨 PERFEITO PARA</h2>
<ul>
<li data-end=""1032"" data-start=""1011"">Jantares em família</li>
<li data-end=""1058"" data-start=""1035"">Festinhas e encontros</li>
<li data-end=""1075"" data-start=""1061"">Aniversários</li>
<li data-end=""1096"" data-start=""1078"">Férias e viagens</li>
<li data-end=""1144"" data-start=""1099"">Momentos de “tá todo mundo no sofá, e agora?”</li>
</ul>
<h2 data-end=""1172"" data-start=""1146"">📦 O QUE VEM NA CAIXA?</h2>
<ul>
<li data-end=""1216"" data-start=""1175"">200 Cartas de perguntas de múltipla escolha<br>
</li>
<li data-end=""1264"" data-start=""1241"">Borrifador de água</li>
<li data-end=""1341"" data-start=""1267"">Livro de Regras</li>
</ul>",Corneta Jogos,Uncategorized,"","familia, festa",true,Title,Default Title,,,,,,,,L70001,300.0,shopify,continue,manual,129.90,179.90,true,false,,,,,'7898973480232,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Untitled-1.png?v=1764355769,1,"",false,,,,,,,,,,,,,,PERFEITO PRO VERÃO,Secundário,O jogo mais divertido (e molhado) da sua prateleira,,,,,,,,,,,,,,,,kg,,26.67,active
errou-molhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_c4636553-2d66-4ec4-87d8-fb9afe968396.png?v=1764355769,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errou-molhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/123.png?v=1764356002,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colecao-o-fio-invisivel-bundle-completo-3-edicoes,Coleção O Fio Invisível - Bundle completo (3 edições),,Corneta Jogos,Uncategorized,"","",true,Title,Default Title,,,,,,,,QC90001,0.0,shopify,continue,manual,299.90,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1_77216a0d-7791-4af5-89ec-99473b08139f.png?v=1762257254,1,"",false,,,,,,,,,,,,,,,,,,,,'1,,,,,,,,,,,,kg,,,active
jogo-faz-ou-bebe-pesadao-1,Jogo Faz ou Bebe Pesadão,"<p><span>O Faz ou Bebe ficou ainda mais insano com o novo PESADÃO! Prepare-se para desafios extremamente difíceis que vão elevar suas festas a outro nível.</span></p>
<p>🔥 <strong>Desafios ousados:</strong> Desafios explícitos e intensos que vão levar você e seus amigos ao limite, garantindo momentos de pura adrenalina e diversão.</p>
<p>🎭 <strong>Situações hilárias: </strong>Prepare-se para situações hilárias e embaraçosas que vão testar seus limites e fazer todos rirem sem parar.</p>
<p>🎉 <strong>Diversão garantida:</strong> A cada rodada, uma nova surpresa, fazendo com que todos os jogadores se mantenham animados e envolvidos.</p>",Corneta Jogos,Uncategorized,"","drinking, festa",true,Title,Default Title,,,,,,,,L10006,250.0,shopify,continue,manual,79.90,,true,false,,,,,'7898973480201,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1.webp?v=1756119749,1,"",false,,,,,,,,,,,,,,,,"Mais ousado, mais pesado, mais caótico",,,,,,,,,,,,,,,,kg,,13.03,active
jogo-faz-ou-bebe-pesadao-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/12_6397ae7d-e3ce-42c9-baf6-8380011b9a55.png?v=1754922829,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-pesadao-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/3_4d12bddd-4a7d-4919-927b-a8e1f9811c22.webp?v=1754922829,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-pesadao-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_77966899-a061-437d-b054-561aafa5676b.webp?v=1762958657,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-pesadao-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/6_948bb57c-ac4b-4c78-9524-578f1d79e945.webp?v=1754922829,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-pesadao-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/5_1c8a2e2d-4f77-4b15-9b71-f25f096c5ead.webp?v=1754922829,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-pesadao-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/4_485465a3-91de-4d8a-8d00-e1c1e531877f.webp?v=1754922829,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorriu-bebeu-1,"Sorriu, Bebeu - Controle o riso ou prepare o copo","<p><span>O nome já diz, Sorriu, Bebeu! Pesque sua carta, escolha seu alvo e realize a ação.</span></p>
<p>🤣 <strong>Muitas risadas: </strong>Desafios que fazem quase impossível ficar sério. Tente não rir, se conseguir!</p>
<p>🍻 <strong>Muita bebida: </strong>Riu? Então bebe. Simples assim. A diversão é garantida a cada rodada.</p>
<p>😜 <strong>Desafios Divertidos:</strong> Encare desafios engraçados que provocam risos incontroláveis, perfeitos para animar qualquer grupo.</p>",Corneta Jogos,Uncategorized,"","drinking, festa",true,Title,Default Title,,,,,,,,L18001,130.0,shopify,continue,manual,59.90,49.90,true,false,,,,,'7898973480195,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/caixa-frente-amarela.png?v=1742039779,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,7.67,active
sorriu-bebeu-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/11_8747ddc3-33fc-48c4-be5c-5f1eadff4ae9.png?v=1754923043,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorriu-bebeu-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/8_32e6df6c-9181-491f-8be1-00a2ba01bd6d.png?v=1761565006,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorriu-bebeu-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/3_aea81c9e-721d-4d20-8165-18cdb947169a.png?v=1761565006,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorriu-bebeu-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_f0288c63-945b-4603-b6e2-7d27d4ffa940.png?v=1761565006,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorriu-bebeu-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/6_0493133c-941c-45d1-b8a7-80a876834447.png?v=1754923043,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorriu-bebeu-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/5_4234a54b-8dd9-4d9d-9766-41e2c467cc65.png?v=1754923043,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
